-23.000000 58.946524  -23.000000 58.292277  -23.000000 58.904079  -23.000000 58.633210 
-22.900000 59.459998  -22.900000 58.606689  -22.900000 58.536691  -22.900000 58.724184 
-22.800000 58.831337  -22.800000 59.047929  -22.800000 58.755074  -22.800000 58.898922 
-22.700000 58.760387  -22.700000 58.762836  -22.700000 58.793140  -22.700000 58.928915 
-22.600000 59.130432  -22.600000 59.091970  -22.600000 58.780326  -22.600000 59.092123 
-22.500000 58.666528  -22.500000 58.974079  -22.500000 58.950440  -22.500000 59.175749 
-22.400000 59.974737  -22.400000 59.258095  -22.400000 59.221823  -22.400000 59.247709 
-22.300000 59.378045  -22.300000 59.094949  -22.300000 59.186114  -22.300000 59.452373 
-22.200000 60.330618  -22.200000 60.116571  -22.200000 59.363121  -22.200000 59.436248 
-22.100000 59.910806  -22.100000 59.666711  -22.100000 59.445643  -22.100000 59.456741 
-22.000000 58.833413  -22.000000 60.166725  -22.000000 59.492871  -22.000000 59.724620 
-21.900000 59.660908  -21.900000 59.651686  -21.900000 59.658833  -21.900000 59.756405 
-21.800000 59.149141  -21.800000 59.262131  -21.800000 59.616716  -21.800000 59.754118 
-21.700000 60.906981  -21.700000 59.773388  -21.700000 59.854861  -21.700000 59.837749 
-21.600000 60.636039  -21.600000 60.101731  -21.600000 59.896409  -21.600000 59.972484 
-21.500000 60.455089  -21.500000 60.364520  -21.500000 59.877121  -21.500000 60.069464 
-21.400000 60.036227  -21.400000 60.200864  -21.400000 60.288716  -21.400000 60.137315 
-21.300000 60.379073  -21.300000 60.043027  -21.300000 60.209746  -21.300000 60.335275 
-21.200000 60.861825  -21.200000 60.390196  -21.200000 60.261647  -21.200000 60.464463 
-21.100000 60.495732  -21.100000 60.312553  -21.100000 60.522774  -21.100000 60.617329 
-21.000000 60.773588  -21.000000 60.278473  -21.000000 60.369294  -21.000000 60.539841 
-20.900000 60.377126  -20.900000 60.931991  -20.900000 60.817372  -20.900000 60.720789 
-20.800000 59.914071  -20.800000 60.712258  -20.800000 60.973869  -20.800000 60.866552 
-20.700000 61.647440  -20.700000 61.127279  -20.700000 60.781076  -20.700000 61.073289 
-20.600000 61.000661  -20.600000 60.520358  -20.600000 61.162913  -20.600000 61.116128 
-20.500000 61.279430  -20.500000 60.515980  -20.500000 61.142791  -20.500000 61.023020 
-20.400000 60.877128  -20.400000 61.308573  -20.400000 61.078790  -20.400000 61.339037 
